,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,iPhone de Carlos (2),-26,40.605837666666666,-4.063023,889.2,163920.00,1725813560.324026,"08/09/2024, 18:39:20.324026",74,0.0
1,MOVISTAR_PLUS_7F81,-74,40.605837666666666,-4.063023,889.2,163920.00,1725813560.324026,"08/09/2024, 18:39:20.324026",26,0.0
2,MOVISTAR_7F81,-74,40.605837666666666,-4.063023,889.2,163920.00,1725813560.324026,"08/09/2024, 18:39:20.324026",26,0.0
3,MOVISTAR_7F81,-78,40.605837666666666,-4.063023,889.2,163920.00,1725813560.324026,"08/09/2024, 18:39:20.324026",22,0.0
4,iPhone de Carlos (2),-27,40.60583716666667,-4.06302,889.5,163926.00,1725813566.933658,"08/09/2024, 18:39:26.933658",73,6.6
5,MOVISTAR_7F81,-71,40.60583716666667,-4.06302,889.5,163926.00,1725813566.933658,"08/09/2024, 18:39:26.933658",29,6.6
6,MOVISTAR_PLUS_7F81,-74,40.60583716666667,-4.06302,889.5,163926.00,1725813566.933658,"08/09/2024, 18:39:26.933658",26,6.6
7,MOVISTAR_7F81,-74,40.60583716666667,-4.06302,889.5,163926.00,1725813566.933658,"08/09/2024, 18:39:26.933658",26,6.6
8,iPhone de Carlos (2),-35,40.605837333333334,-4.063019,889.7,163930.00,1725813571.024209,"08/09/2024, 18:39:31.024209",65,10.7
9,MOVISTAR_7F81,-75,40.605837333333334,-4.063019,889.7,163930.00,1725813571.024209,"08/09/2024, 18:39:31.024209",25,10.7
10,MOVISTAR_PLUS_7F81,-76,40.605837333333334,-4.063019,889.7,163930.00,1725813571.024209,"08/09/2024, 18:39:31.024209",24,10.7
11,MOVISTAR_7F81,-76,40.605837333333334,-4.063019,889.7,163930.00,1725813571.024209,"08/09/2024, 18:39:31.024209",24,10.7
12,iPhone de Carlos (2),-27,40.605837333333334,-4.063018166666667,889.8,163934.00,1725813574.71701,"08/09/2024, 18:39:34.717010",73,14.4
13,MOVISTAR_7F81,-70,40.605837333333334,-4.063018166666667,889.8,163934.00,1725813574.71701,"08/09/2024, 18:39:34.717010",30,14.4
14,MOVISTAR_PLUS_7F81,-78,40.605837333333334,-4.063018166666667,889.8,163934.00,1725813574.71701,"08/09/2024, 18:39:34.717010",22,14.4
15,MOVISTAR_7F81,-78,40.605837333333334,-4.063018166666667,889.8,163934.00,1725813574.71701,"08/09/2024, 18:39:34.717010",22,14.4
16,iPhone de Carlos (2),-35,40.60583783333333,-4.063019,889.8,163938.00,1725813578.808936,"08/09/2024, 18:39:38.808936",65,18.5
17,MOVISTAR_PLUS_7F81,-76,40.60583783333333,-4.063019,889.8,163938.00,1725813578.808936,"08/09/2024, 18:39:38.808936",24,18.5
18,MOVISTAR_7F81,-76,40.60583783333333,-4.063019,889.8,163938.00,1725813578.808936,"08/09/2024, 18:39:38.808936",24,18.5
19,MOVISTAR_7F81,-76,40.60583783333333,-4.063019,889.8,163938.00,1725813578.808936,"08/09/2024, 18:39:38.808936",24,18.5
20,iPhone de Carlos (2),-28,40.605838,-4.0630205,889.7,163941.00,1725813582.503199,"08/09/2024, 18:39:42.503199",72,22.2
21,MOVISTAR_7F81,-70,40.605838,-4.0630205,889.7,163941.00,1725813582.503199,"08/09/2024, 18:39:42.503199",30,22.2
22,MOVISTAR_7F81,-77,40.605838,-4.0630205,889.7,163941.00,1725813582.503199,"08/09/2024, 18:39:42.503199",23,22.2
23,MOVISTAR_PLUS_7F81,-78,40.605838,-4.0630205,889.7,163941.00,1725813582.503199,"08/09/2024, 18:39:42.503199",22,22.2
