,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,MOVISTAR_19BB,-50,40.604430666666666,-4.0648595,887.3,102808.00,1725877688.624759,"09/09/2024, 12:28:08.624759",50,0.0
1,MOVISTAR_PLUS_19BB,-61,40.604430666666666,-4.0648595,887.3,102808.00,1725877688.624759,"09/09/2024, 12:28:08.624759",39,0.0
2,MOVISTAR_19BB,-61,40.604430666666666,-4.0648595,887.3,102808.00,1725877688.624759,"09/09/2024, 12:28:08.624759",39,0.0
3,BUZZ+,-61,40.604430666666666,-4.0648595,887.3,102808.00,1725877688.624759,"09/09/2024, 12:28:08.624759",39,0.0
4,BUZZ,-61,40.604430666666666,-4.0648595,887.3,102808.00,1725877688.624759,"09/09/2024, 12:28:08.624759",39,0.0
5,vodafoneBA5222,-75,40.604430666666666,-4.0648595,887.3,102808.00,1725877688.624759,"09/09/2024, 12:28:08.624759",25,0.0
6,Alboronia,-79,40.604430666666666,-4.0648595,887.3,102808.00,1725877688.624759,"09/09/2024, 12:28:08.624759",21,0.0
7,MOVISTAR_PLUS_19BB,-61,40.60440416666667,-4.064836333333333,888.0,102811.00,1725877692.121539,"09/09/2024, 12:28:12.121539",39,3.5
8,MOVISTAR_19BB,-61,40.60440416666667,-4.064836333333333,888.0,102811.00,1725877692.121539,"09/09/2024, 12:28:12.121539",39,3.5
9,MOVISTAR_19BB,-62,40.60440416666667,-4.064836333333333,888.0,102811.00,1725877692.121539,"09/09/2024, 12:28:12.121539",38,3.5
10,BUZZ+,-72,40.60440416666667,-4.064836333333333,888.0,102811.00,1725877692.121539,"09/09/2024, 12:28:12.121539",28,3.5
11,BUZZ,-72,40.60440416666667,-4.064836333333333,888.0,102811.00,1725877692.121539,"09/09/2024, 12:28:12.121539",28,3.5
12,vodafoneBA5222,-74,40.60440416666667,-4.064836333333333,888.0,102811.00,1725877692.121539,"09/09/2024, 12:28:12.121539",26,3.5
13,Alboronia,-83,40.60440416666667,-4.064836333333333,888.0,102811.00,1725877692.121539,"09/09/2024, 12:28:12.121539",17,3.5
