,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,iPhone de Carlos (2),-78,40.6059115,-4.062951333333333,887.0,164344.00,1725813824.568622,"08/09/2024, 18:43:44.568622",22,0.0
1,MOVISTAR_7F81,-86,40.6059115,-4.062951333333333,887.0,164344.00,1725813824.568622,"08/09/2024, 18:43:44.568622",14,0.0
2,MOVISTAR_PLUS_7F81,-87,40.6059115,-4.062951333333333,887.0,164344.00,1725813824.568622,"08/09/2024, 18:43:44.568622",13,0.0
3,iPhone de Carlos (2),-73,40.605909833333335,-4.062955,887.2,164348.00,1725813828.670048,"08/09/2024, 18:43:48.670048",27,4.1
4,MOVISTAR_7F81,-79,40.605909833333335,-4.062955,887.2,164348.00,1725813828.670048,"08/09/2024, 18:43:48.670048",21,4.1
5,MOVISTAR_PLUS_7F81,-87,40.605909833333335,-4.062955,887.2,164348.00,1725813828.670048,"08/09/2024, 18:43:48.670048",13,4.1
6,iPhone de Carlos (2),-70,40.6059085,-4.062957666666667,887.5,164352.00,1725813833.163876,"08/09/2024, 18:43:53.163876",30,8.6
7,MOVISTAR_7F81,-79,40.6059085,-4.062957666666667,887.5,164352.00,1725813833.163876,"08/09/2024, 18:43:53.163876",21,8.6
8,MOVISTAR_PLUS_7F81,-87,40.6059085,-4.062957666666667,887.5,164352.00,1725813833.163876,"08/09/2024, 18:43:53.163876",13,8.6
9,iPhone de Carlos (2),-76,40.605907,-4.0629605,887.7,164356.00,1725813837.256944,"08/09/2024, 18:43:57.256944",24,12.7
10,MOVISTAR_7F81,-84,40.605907,-4.0629605,887.7,164356.00,1725813837.256944,"08/09/2024, 18:43:57.256944",16,12.7
11,MOVISTAR_PLUS_7F81,-85,40.605907,-4.0629605,887.7,164356.00,1725813837.256944,"08/09/2024, 18:43:57.256944",15,12.7
12,iPhone de Carlos (2),-74,40.605904,-4.062961666666666,888.0,164403.00,1725813843.856207,"08/09/2024, 18:44:03.856207",26,19.3
13,MOVISTAR_PLUS_7F81,-87,40.605904,-4.062961666666666,888.0,164403.00,1725813843.856207,"08/09/2024, 18:44:03.856207",13,19.3
14,MOVISTAR_7F81,-87,40.605904,-4.062961666666666,888.0,164403.00,1725813843.856207,"08/09/2024, 18:44:03.856207",13,19.3
15,MOVISTAR_7F81,-88,40.605904,-4.062961666666666,888.0,164403.00,1725813843.856207,"08/09/2024, 18:44:03.856207",12,19.3
16,iPhone de Carlos (2),-76,40.605902666666665,-4.062962166666667,887.7,164407.00,1725813848.448405,"08/09/2024, 18:44:08.448405",24,23.9
17,MOVISTAR_7F81,-80,40.605902666666665,-4.062962166666667,887.7,164407.00,1725813848.448405,"08/09/2024, 18:44:08.448405",20,23.9
18,MOVISTAR_PLUS_7F81,-87,40.605902666666665,-4.062962166666667,887.7,164407.00,1725813848.448405,"08/09/2024, 18:44:08.448405",13,23.9
19,MOVISTAR_7F81,-87,40.605902666666665,-4.062962166666667,887.7,164407.00,1725813848.448405,"08/09/2024, 18:44:08.448405",13,23.9
20,iPhone de Carlos (2),-74,40.605902,-4.062964166666666,887.8,164411.00,1725813852.739714,"08/09/2024, 18:44:12.739714",26,28.2
21,MOVISTAR_7F81,-85,40.605902,-4.062964166666666,887.8,164411.00,1725813852.739714,"08/09/2024, 18:44:12.739714",15,28.2
22,MOVISTAR_PLUS_7F81,-86,40.605902,-4.062964166666666,887.8,164411.00,1725813852.739714,"08/09/2024, 18:44:12.739714",14,28.2
23,MOVISTAR_7F81,-86,40.605902,-4.062964166666666,887.8,164411.00,1725813852.739714,"08/09/2024, 18:44:12.739714",14,28.2
24,Livebox6-C9E1,-90,40.605902,-4.062964166666666,887.8,164411.00,1725813852.739714,"08/09/2024, 18:44:12.739714",10,28.2
25,iPhone de Carlos (2),-77,40.60590233333333,-4.062964166666666,887.1,164419.00,1725813860.140091,"08/09/2024, 18:44:20.140091",23,35.6
26,MOVISTAR_7F81,-84,40.60590233333333,-4.062964166666666,887.1,164419.00,1725813860.140091,"08/09/2024, 18:44:20.140091",16,35.6
27,MOVISTAR_PLUS_7F81,-86,40.60590233333333,-4.062964166666666,887.1,164419.00,1725813860.140091,"08/09/2024, 18:44:20.140091",14,35.6
28,MOVISTAR_7F81,-86,40.60590233333333,-4.062964166666666,887.1,164419.00,1725813860.140091,"08/09/2024, 18:44:20.140091",14,35.6
29,Livebox6-C9E1,-90,40.60590233333333,-4.062964166666666,887.1,164419.00,1725813860.140091,"08/09/2024, 18:44:20.140091",10,35.6
30,iPhone de Carlos (2),-78,40.605902666666665,-4.062961166666667,886.7,164425.00,1725813865.935931,"08/09/2024, 18:44:25.935931",22,41.4
31,MOVISTAR_PLUS_7F81,-86,40.605902666666665,-4.062961166666667,886.7,164425.00,1725813865.935931,"08/09/2024, 18:44:25.935931",14,41.4
32,MOVISTAR_7F81,-86,40.605902666666665,-4.062961166666667,886.7,164425.00,1725813865.935931,"08/09/2024, 18:44:25.935931",14,41.4
33,MOVISTAR_7F81,-87,40.605902666666665,-4.062961166666667,886.7,164425.00,1725813865.935931,"08/09/2024, 18:44:25.935931",13,41.4
34,Livebox6-C9E1,-90,40.605902666666665,-4.062961166666667,886.7,164425.00,1725813865.935931,"08/09/2024, 18:44:25.935931",10,41.4
35,iPhone de Carlos (2),-80,40.60590233333333,-4.062960666666667,886.7,164430.00,1725813871.228786,"08/09/2024, 18:44:31.228786",20,46.7
36,MOVISTAR_7F81,-85,40.60590233333333,-4.062960666666667,886.7,164430.00,1725813871.228786,"08/09/2024, 18:44:31.228786",15,46.7
37,MOVISTAR_PLUS_7F81,-87,40.60590233333333,-4.062960666666667,886.7,164430.00,1725813871.228786,"08/09/2024, 18:44:31.228786",13,46.7
38,MOVISTAR_7F81,-88,40.60590233333333,-4.062960666666667,886.7,164430.00,1725813871.228786,"08/09/2024, 18:44:31.228786",12,46.7
39,Livebox6-C9E1,-89,40.60590233333333,-4.062960666666667,886.7,164430.00,1725813871.228786,"08/09/2024, 18:44:31.228786",11,46.7
