,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,iPhone de Carlos (2),-64,40.605920166666664,-4.063139333333333,888.9,164530.00,1725813931.357198,"08/09/2024, 18:45:31.357198",36,0.0
1,MOVISTAR_7F81,-78,40.605920166666664,-4.063139333333333,888.9,164530.00,1725813931.357198,"08/09/2024, 18:45:31.357198",22,0.0
2,MOVISTAR_PLUS_7F81,-82,40.605920166666664,-4.063139333333333,888.9,164530.00,1725813931.357198,"08/09/2024, 18:45:31.357198",18,0.0
3,iPhone de Carlos (2),-74,40.605921,-4.0631371666666665,888.9,164534.00,1725813936.060296,"08/09/2024, 18:45:36.060296",26,4.7
4,MOVISTAR_7F81,-78,40.605921,-4.0631371666666665,888.9,164534.00,1725813936.060296,"08/09/2024, 18:45:36.060296",22,4.7
5,MOVISTAR_PLUS_7F81,-82,40.605921,-4.0631371666666665,888.9,164534.00,1725813936.060296,"08/09/2024, 18:45:36.060296",18,4.7
6,MOVISTAR_7F81,-82,40.605921,-4.0631371666666665,888.9,164534.00,1725813936.060296,"08/09/2024, 18:45:36.060296",18,4.7
7,iPhone de Carlos (2),-66,40.605919166666666,-4.063130833333333,889.0,164540.00,1725813940.252428,"08/09/2024, 18:45:40.252428",34,8.9
8,MOVISTAR_7F81,-77,40.605919166666666,-4.063130833333333,889.0,164540.00,1725813940.252428,"08/09/2024, 18:45:40.252428",23,8.9
9,MOVISTAR_PLUS_7F81,-83,40.605919166666666,-4.063130833333333,889.0,164540.00,1725813940.252428,"08/09/2024, 18:45:40.252428",17,8.9
10,MOVISTAR_7F81,-83,40.605919166666666,-4.063130833333333,889.0,164540.00,1725813940.252428,"08/09/2024, 18:45:40.252428",17,8.9
11,iPhone de Carlos (2),-74,40.6059195,-4.063128666666667,888.8,164544.00,1725813944.9433,"08/09/2024, 18:45:44.943300",26,13.6
12,MOVISTAR_7F81,-74,40.6059195,-4.063128666666667,888.8,164544.00,1725813944.9433,"08/09/2024, 18:45:44.943300",26,13.6
13,MOVISTAR_PLUS_7F81,-84,40.6059195,-4.063128666666667,888.8,164544.00,1725813944.9433,"08/09/2024, 18:45:44.943300",16,13.6
14,MOVISTAR_7F81,-84,40.6059195,-4.063128666666667,888.8,164544.00,1725813944.9433,"08/09/2024, 18:45:44.943300",16,13.6
15,VODAFONEBA0112_5G,-90,40.6059195,-4.063128666666667,888.8,164544.00,1725813944.9433,"08/09/2024, 18:45:44.943300",10,13.6
16,10F81D-TS3400series,-91,40.6059195,-4.063128666666667,888.8,164544.00,1725813944.9433,"08/09/2024, 18:45:44.943300",9,13.6
17,iPhone de Carlos (2),-62,40.605917833333336,-4.063129,889.0,164548.00,1725813949.238905,"08/09/2024, 18:45:49.238905",38,17.9
18,MOVISTAR_7F81,-86,40.605917833333336,-4.063129,889.0,164548.00,1725813949.238905,"08/09/2024, 18:45:49.238905",14,17.9
19,MOVISTAR_7F81,-86,40.605917833333336,-4.063129,889.0,164548.00,1725813949.238905,"08/09/2024, 18:45:49.238905",14,17.9
20,MOVISTAR_PLUS_7F81,-87,40.605917833333336,-4.063129,889.0,164548.00,1725813949.238905,"08/09/2024, 18:45:49.238905",13,17.9
21,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,-89,40.605917833333336,-4.063129,889.0,164548.00,1725813949.238905,"08/09/2024, 18:45:49.238905",11,17.9
22,VODAFONEBA0112_5G,-90,40.605917833333336,-4.063129,889.0,164548.00,1725813949.238905,"08/09/2024, 18:45:49.238905",10,17.9
23,10F81D-TS3400series,-90,40.605917833333336,-4.063129,889.0,164548.00,1725813949.238905,"08/09/2024, 18:45:49.238905",10,17.9
24,iPhone de Carlos (2),-70,40.6059125,-4.063126333333333,889.3,164554.00,1725813955.035677,"08/09/2024, 18:45:55.035677",30,23.7
25,MOVISTAR_7F81,-78,40.6059125,-4.063126333333333,889.3,164554.00,1725813955.035677,"08/09/2024, 18:45:55.035677",22,23.7
26,MOVISTAR_7F81,-86,40.6059125,-4.063126333333333,889.3,164554.00,1725813955.035677,"08/09/2024, 18:45:55.035677",14,23.7
27,MOVISTAR_PLUS_7F81,-87,40.6059125,-4.063126333333333,889.3,164554.00,1725813955.035677,"08/09/2024, 18:45:55.035677",13,23.7
28,10F81D-TS3400series,-87,40.6059125,-4.063126333333333,889.3,164554.00,1725813955.035677,"08/09/2024, 18:45:55.035677",13,23.7
29,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,-92,40.6059125,-4.063126333333333,889.3,164554.00,1725813955.035677,"08/09/2024, 18:45:55.035677",8,23.7
30,VODAFONEBA0112_5G,-93,40.6059125,-4.063126333333333,889.3,164554.00,1725813955.035677,"08/09/2024, 18:45:55.035677",7,23.7
31,iPhone de Carlos (2),-70,40.6059095,-4.063123833333333,889.8,164559.00,1725813959.728955,"08/09/2024, 18:45:59.728955",30,28.4
32,MOVISTAR_7F81,-85,40.6059095,-4.063123833333333,889.8,164559.00,1725813959.728955,"08/09/2024, 18:45:59.728955",15,28.4
33,MOVISTAR_PLUS_7F81,-87,40.6059095,-4.063123833333333,889.8,164559.00,1725813959.728955,"08/09/2024, 18:45:59.728955",13,28.4
34,MOVISTAR_7F81,-87,40.6059095,-4.063123833333333,889.8,164559.00,1725813959.728955,"08/09/2024, 18:45:59.728955",13,28.4
35,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,-90,40.6059095,-4.063123833333333,889.8,164559.00,1725813959.728955,"08/09/2024, 18:45:59.728955",10,28.4
36,VODAFONEBA0112_5G,-90,40.6059095,-4.063123833333333,889.8,164559.00,1725813959.728955,"08/09/2024, 18:45:59.728955",10,28.4
37,10F81D-TS3400series,-92,40.6059095,-4.063123833333333,889.8,164559.00,1725813959.728955,"08/09/2024, 18:45:59.728955",8,28.4
38,iPhone de Carlos (2),-73,40.60590716666667,-4.0631215,889.9,164604.00,1725813964.837326,"08/09/2024, 18:46:04.837326",27,33.5
39,MOVISTAR_7F81,-80,40.60590716666667,-4.0631215,889.9,164604.00,1725813964.837326,"08/09/2024, 18:46:04.837326",20,33.5
40,MOVISTAR_PLUS_7F81,-89,40.60590716666667,-4.0631215,889.9,164604.00,1725813964.837326,"08/09/2024, 18:46:04.837326",11,33.5
41,10F81D-TS3400series,-89,40.60590716666667,-4.0631215,889.9,164604.00,1725813964.837326,"08/09/2024, 18:46:04.837326",11,33.5
42,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,-90,40.60590716666667,-4.0631215,889.9,164604.00,1725813964.837326,"08/09/2024, 18:46:04.837326",10,33.5
43,VODAFONEBA0112_5G,-90,40.60590716666667,-4.0631215,889.9,164604.00,1725813964.837326,"08/09/2024, 18:46:04.837326",10,33.5
44,MOVISTAR_7F81,-91,40.60590716666667,-4.0631215,889.9,164604.00,1725813964.837326,"08/09/2024, 18:46:04.837326",9,33.5
45,iPhone de Carlos (2),-69,40.605906166666664,-4.063122166666667,889.8,164608.00,1725813969.328317,"08/09/2024, 18:46:09.328317",31,38.0
46,MOVISTAR_7F81,-75,40.605906166666664,-4.063122166666667,889.8,164608.00,1725813969.328317,"08/09/2024, 18:46:09.328317",25,38.0
47,MOVISTAR_PLUS_7F81,-85,40.605906166666664,-4.063122166666667,889.8,164608.00,1725813969.328317,"08/09/2024, 18:46:09.328317",15,38.0
48,MOVISTAR_7F81,-85,40.605906166666664,-4.063122166666667,889.8,164608.00,1725813969.328317,"08/09/2024, 18:46:09.328317",15,38.0
