,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,MOVISTAR_PLUS_7F81,-72,40.6057885,-4.0629686666666665,887.7,164148.00,1725813708.244,"08/09/2024, 18:41:48.244000",28,0.0
1,MOVISTAR_7F81,-80,40.6057885,-4.0629686666666665,887.7,164148.00,1725813708.244,"08/09/2024, 18:41:48.244000",20,0.0
2,iPhone de Carlos (2),-81,40.6057885,-4.0629686666666665,887.7,164148.00,1725813708.244,"08/09/2024, 18:41:48.244000",19,0.0
3,iPhone de Carlos (2),-64,40.60578833333334,-4.062966,887.4,164152.00,1725813712.843604,"08/09/2024, 18:41:52.843604",36,4.6
4,MOVISTAR_PLUS_7F81,-72,40.60578833333334,-4.062966,887.4,164152.00,1725813712.843604,"08/09/2024, 18:41:52.843604",28,4.6
5,MOVISTAR_7F81,-72,40.60578833333334,-4.062966,887.4,164152.00,1725813712.843604,"08/09/2024, 18:41:52.843604",28,4.6
6,MOVISTAR_7F81,-77,40.60578833333334,-4.062966,887.4,164152.00,1725813712.843604,"08/09/2024, 18:41:52.843604",23,4.6
7,Livebox6-C9E1,-89,40.60578833333334,-4.062966,887.4,164152.00,1725813712.843604,"08/09/2024, 18:41:52.843604",11,4.6
8,iPhone de Carlos (2),-63,40.6057865,-4.062963,887.1,164156.00,1725813717.136115,"08/09/2024, 18:41:57.136115",37,8.9
9,MOVISTAR_7F81,-74,40.6057865,-4.062963,887.1,164156.00,1725813717.136115,"08/09/2024, 18:41:57.136115",26,8.9
10,MOVISTAR_PLUS_7F81,-80,40.6057865,-4.062963,887.1,164156.00,1725813717.136115,"08/09/2024, 18:41:57.136115",20,8.9
11,MOVISTAR_7F81,-80,40.6057865,-4.062963,887.1,164156.00,1725813717.136115,"08/09/2024, 18:41:57.136115",20,8.9
12,Livebox6-C9E1,-89,40.6057865,-4.062963,887.1,164156.00,1725813717.136115,"08/09/2024, 18:41:57.136115",11,8.9
13,iPhone de Carlos (2),-71,40.605792666666666,-4.062961666666666,887.2,164201.00,1725813721.641373,"08/09/2024, 18:42:01.641373",29,13.4
14,MOVISTAR_7F81,-77,40.605792666666666,-4.062961666666666,887.2,164201.00,1725813721.641373,"08/09/2024, 18:42:01.641373",23,13.4
15,10F81D-TS3400series,-79,40.605792666666666,-4.062961666666666,887.2,164201.00,1725813721.641373,"08/09/2024, 18:42:01.641373",21,13.4
16,MOVISTAR_PLUS_7F81,-80,40.605792666666666,-4.062961666666666,887.2,164201.00,1725813721.641373,"08/09/2024, 18:42:01.641373",20,13.4
17,MOVISTAR_7F81,-80,40.605792666666666,-4.062961666666666,887.2,164201.00,1725813721.641373,"08/09/2024, 18:42:01.641373",20,13.4
18,Livebox6-C9E1,-89,40.605792666666666,-4.062961666666666,887.2,164201.00,1725813721.641373,"08/09/2024, 18:42:01.641373",11,13.4
19,iPhone de Carlos (2),-70,40.60579383333334,-4.062958166666666,887.4,164206.00,1725813727.536889,"08/09/2024, 18:42:07.536889",30,19.3
20,MOVISTAR_7F81,-70,40.60579383333334,-4.062958166666666,887.4,164206.00,1725813727.536889,"08/09/2024, 18:42:07.536889",30,19.3
21,MOVISTAR_PLUS_7F81,-74,40.60579383333334,-4.062958166666666,887.4,164206.00,1725813727.536889,"08/09/2024, 18:42:07.536889",26,19.3
22,MOVISTAR_7F81,-74,40.60579383333334,-4.062958166666666,887.4,164206.00,1725813727.536889,"08/09/2024, 18:42:07.536889",26,19.3
23,Livebox6-C9E1,-89,40.60579383333334,-4.062958166666666,887.4,164206.00,1725813727.536889,"08/09/2024, 18:42:07.536889",11,19.3
24,10F81D-TS3400series,-90,40.60579383333334,-4.062958166666666,887.4,164206.00,1725813727.536889,"08/09/2024, 18:42:07.536889",10,19.3
25,iPhone de Carlos (2),-66,40.605799,-4.062957,887.8,164214.00,1725813734.935467,"08/09/2024, 18:42:14.935467",34,26.7
26,MOVISTAR_7F81,-69,40.605799,-4.062957,887.8,164214.00,1725813734.935467,"08/09/2024, 18:42:14.935467",31,26.7
27,MOVISTAR_7F81,-71,40.605799,-4.062957,887.8,164214.00,1725813734.935467,"08/09/2024, 18:42:14.935467",29,26.7
28,MOVISTAR_PLUS_7F81,-72,40.605799,-4.062957,887.8,164214.00,1725813734.935467,"08/09/2024, 18:42:14.935467",28,26.7
29,Livebox6-C9E1,-89,40.605799,-4.062957,887.8,164214.00,1725813734.935467,"08/09/2024, 18:42:14.935467",11,26.7
30,10F81D-TS3400series,-90,40.605799,-4.062957,887.8,164214.00,1725813734.935467,"08/09/2024, 18:42:14.935467",10,26.7
31,iPhone de Carlos (2),-66,40.60579766666667,-4.062955,888.0,164219.00,1725813739.427783,"08/09/2024, 18:42:19.427783",34,31.2
32,MOVISTAR_7F81,-68,40.60579766666667,-4.062955,888.0,164219.00,1725813739.427783,"08/09/2024, 18:42:19.427783",32,31.2
33,MOVISTAR_7F81,-71,40.60579766666667,-4.062955,888.0,164219.00,1725813739.427783,"08/09/2024, 18:42:19.427783",29,31.2
34,MOVISTAR_PLUS_7F81,-72,40.60579766666667,-4.062955,888.0,164219.00,1725813739.427783,"08/09/2024, 18:42:19.427783",28,31.2
35,Livebox6-C9E1,-89,40.60579766666667,-4.062955,888.0,164219.00,1725813739.427783,"08/09/2024, 18:42:19.427783",11,31.2
36,10F81D-TS3400series,-89,40.60579766666667,-4.062955,888.0,164219.00,1725813739.427783,"08/09/2024, 18:42:19.427783",11,31.2
37,iPhone de Carlos (2),-68,40.605796,-4.062954333333334,888.1,164223.00,1725813743.521666,"08/09/2024, 18:42:23.521666",32,35.3
38,MOVISTAR_PLUS_7F81,-70,40.605796,-4.062954333333334,888.1,164223.00,1725813743.521666,"08/09/2024, 18:42:23.521666",30,35.3
39,MOVISTAR_7F81,-70,40.605796,-4.062954333333334,888.1,164223.00,1725813743.521666,"08/09/2024, 18:42:23.521666",30,35.3
40,MOVISTAR_7F81,-73,40.605796,-4.062954333333334,888.1,164223.00,1725813743.521666,"08/09/2024, 18:42:23.521666",27,35.3
41,10F81D-TS3400series,-82,40.605796,-4.062954333333334,888.1,164223.00,1725813743.521666,"08/09/2024, 18:42:23.521666",18,35.3
42,Livebox6-C9E1,-89,40.605796,-4.062954333333334,888.1,164223.00,1725813743.521666,"08/09/2024, 18:42:23.521666",11,35.3
43,MOVISTAR_7F81,-64,40.605794833333334,-4.062952666666667,888.5,164228.00,1725813749.318692,"08/09/2024, 18:42:29.318692",36,41.1
44,iPhone de Carlos (2),-68,40.605794833333334,-4.062952666666667,888.5,164228.00,1725813749.318692,"08/09/2024, 18:42:29.318692",32,41.1
45,MOVISTAR_PLUS_7F81,-70,40.605794833333334,-4.062952666666667,888.5,164228.00,1725813749.318692,"08/09/2024, 18:42:29.318692",30,41.1
46,MOVISTAR_7F81,-70,40.605794833333334,-4.062952666666667,888.5,164228.00,1725813749.318692,"08/09/2024, 18:42:29.318692",30,41.1
47,10F81D-TS3400series,-88,40.605794833333334,-4.062952666666667,888.5,164228.00,1725813749.318692,"08/09/2024, 18:42:29.318692",12,41.1
