,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,iPhone de Carlos (2),-35,40.6058365,-4.063040333333333,888.9,163218.00,1725813138.66151,"08/09/2024, 18:32:18.661510",65,0.0
1,MOVISTAR_PLUS_7F81,-79,40.6058365,-4.063040333333333,888.9,163218.00,1725813138.66151,"08/09/2024, 18:32:18.661510",21,0.0
2,MOVISTAR_7F81,-79,40.6058365,-4.063040333333333,888.9,163218.00,1725813138.66151,"08/09/2024, 18:32:18.661510",21,0.0
3,MOVISTAR_7F81,-83,40.6058365,-4.063040333333333,888.9,163218.00,1725813138.66151,"08/09/2024, 18:32:18.661510",17,0.0
4,iPhone de Carlos (2),-37,40.60583833333333,-4.063039833333334,889.7,163222.00,1725813143.359084,"08/09/2024, 18:32:23.359084",63,4.7
5,MOVISTAR_7F81,-81,40.60583833333333,-4.063039833333334,889.7,163222.00,1725813143.359084,"08/09/2024, 18:32:23.359084",19,4.7
6,MOVISTAR_PLUS_7F81,-82,40.60583833333333,-4.063039833333334,889.7,163222.00,1725813143.359084,"08/09/2024, 18:32:23.359084",18,4.7
7,MOVISTAR_7F81,-83,40.60583833333333,-4.063039833333334,889.7,163222.00,1725813143.359084,"08/09/2024, 18:32:23.359084",17,4.7
8,iPhone de Carlos (2),-42,40.60583866666666,-4.063039,889.1,163226.00,1725813147.451715,"08/09/2024, 18:32:27.451715",58,8.8
9,MOVISTAR_7F81,-75,40.60583866666666,-4.063039,889.1,163226.00,1725813147.451715,"08/09/2024, 18:32:27.451715",25,8.8
10,MOVISTAR_PLUS_7F81,-76,40.60583866666666,-4.063039,889.1,163226.00,1725813147.451715,"08/09/2024, 18:32:27.451715",24,8.8
11,MOVISTAR_7F81,-76,40.60583866666666,-4.063039,889.1,163226.00,1725813147.451715,"08/09/2024, 18:32:27.451715",24,8.8
12,iPhone de Carlos (2),-29,40.605839,-4.063037333333333,888.9,163232.00,1725813153.15039,"08/09/2024, 18:32:33.150390",71,14.5
13,MOVISTAR_7F81,-72,40.605839,-4.063037333333333,888.9,163232.00,1725813153.15039,"08/09/2024, 18:32:33.150390",28,14.5
14,MOVISTAR_7F81,-80,40.605839,-4.063037333333333,888.9,163232.00,1725813153.15039,"08/09/2024, 18:32:33.150390",20,14.5
15,MOVISTAR_PLUS_7F81,-81,40.605839,-4.063037333333333,888.9,163232.00,1725813153.15039,"08/09/2024, 18:32:33.150390",19,14.5
16,10F81D-TS3400series,-86,40.605839,-4.063037333333333,888.9,163232.00,1725813153.15039,"08/09/2024, 18:32:33.150390",14,14.5
17,iPhone de Carlos (2),-29,40.605839333333336,-4.063036166666667,888.7,163236.00,1725813157.542545,"08/09/2024, 18:32:37.542545",71,18.9
18,MOVISTAR_PLUS_7F81,-74,40.605839333333336,-4.063036166666667,888.7,163236.00,1725813157.542545,"08/09/2024, 18:32:37.542545",26,18.9
19,MOVISTAR_7F81,-74,40.605839333333336,-4.063036166666667,888.7,163236.00,1725813157.542545,"08/09/2024, 18:32:37.542545",26,18.9
20,MOVISTAR_7F81,-74,40.605839333333336,-4.063036166666667,888.7,163236.00,1725813157.542545,"08/09/2024, 18:32:37.542545",26,18.9
21,10F81D-TS3400series,-87,40.605839333333336,-4.063036166666667,888.7,163236.00,1725813157.542545,"08/09/2024, 18:32:37.542545",13,18.9
22,VODAFONEBA0112_5G,-90,40.605839333333336,-4.063036166666667,888.7,163236.00,1725813157.542545,"08/09/2024, 18:32:37.542545",10,18.9
23,iPhone de Carlos (2),-29,40.605839833333334,-4.063035166666666,888.6,163240.00,1725813161.435574,"08/09/2024, 18:32:41.435574",71,22.8
24,MOVISTAR_7F81,-71,40.605839833333334,-4.063035166666666,888.6,163240.00,1725813161.435574,"08/09/2024, 18:32:41.435574",29,22.8
25,MOVISTAR_PLUS_7F81,-81,40.605839833333334,-4.063035166666666,888.6,163240.00,1725813161.435574,"08/09/2024, 18:32:41.435574",19,22.8
26,MOVISTAR_7F81,-81,40.605839833333334,-4.063035166666666,888.6,163240.00,1725813161.435574,"08/09/2024, 18:32:41.435574",19,22.8
27,10F81D-TS3400series,-87,40.605839833333334,-4.063035166666666,888.6,163240.00,1725813161.435574,"08/09/2024, 18:32:41.435574",13,22.8
28,VODAFONEBA0112_5G,-90,40.605839833333334,-4.063035166666666,888.6,163240.00,1725813161.435574,"08/09/2024, 18:32:41.435574",10,22.8
29,iPhone de Carlos (2),-35,40.6058405,-4.063034666666667,888.6,163244.00,1725813165.729687,"08/09/2024, 18:32:45.729687",65,27.1
30,MOVISTAR_7F81,-72,40.6058405,-4.063034666666667,888.6,163244.00,1725813165.729687,"08/09/2024, 18:32:45.729687",28,27.1
31,MOVISTAR_PLUS_7F81,-75,40.6058405,-4.063034666666667,888.6,163244.00,1725813165.729687,"08/09/2024, 18:32:45.729687",25,27.1
32,MOVISTAR_7F81,-75,40.6058405,-4.063034666666667,888.6,163244.00,1725813165.729687,"08/09/2024, 18:32:45.729687",25,27.1
33,VODAFONEBA0112_5G,-90,40.6058405,-4.063034666666667,888.6,163244.00,1725813165.729687,"08/09/2024, 18:32:45.729687",10,27.1
34,10F81D-TS3400series,-90,40.6058405,-4.063034666666667,888.6,163244.00,1725813165.729687,"08/09/2024, 18:32:45.729687",10,27.1
35,iPhone de Carlos (2),-29,40.60584133333333,-4.063034666666667,888.5,163249.00,1725813169.621287,"08/09/2024, 18:32:49.621287",71,31.0
36,MOVISTAR_7F81,-71,40.60584133333333,-4.063034666666667,888.5,163249.00,1725813169.621287,"08/09/2024, 18:32:49.621287",29,31.0
37,MOVISTAR_7F81,-80,40.60584133333333,-4.063034666666667,888.5,163249.00,1725813169.621287,"08/09/2024, 18:32:49.621287",20,31.0
38,MOVISTAR_PLUS_7F81,-81,40.60584133333333,-4.063034666666667,888.5,163249.00,1725813169.621287,"08/09/2024, 18:32:49.621287",19,31.0
