,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,MOVISTAR_7F81,-66,40.605825333333335,-4.062910666666666,895.4,154145.00,1727797306.741085,"01/10/2024, 17:41:46.741085",34,0.0
1,MOVISTAR_7F81,-79,40.605826,-4.062911166666667,895.3,154148.00,1727797308.532742,"01/10/2024, 17:41:48.532742",21,1.8
2,MOVISTAR_PLUS_7F81,-76,40.605826,-4.062911166666667,895.3,154148.00,1727797308.532742,"01/10/2024, 17:41:48.532742",24,1.8
3,MOVISTAR_PLUS_7F81,-76,40.6058265,-4.062911166666667,895.3,154150.00,1727797310.118344,"01/10/2024, 17:41:50.118344",24,3.4
4,MOVISTAR_7F81,-66,40.6058265,-4.062911166666667,895.3,154150.00,1727797310.118344,"01/10/2024, 17:41:50.118344",34,3.4
5,MOVISTAR_PLUS_7F81,-76,40.60582683333333,-4.062911166666667,895.2,154151.00,1727797311.707376,"01/10/2024, 17:41:51.707376",24,5.0
6,MOVISTAR_7F81,-75,40.60582683333333,-4.062911166666667,895.2,154151.00,1727797311.707376,"01/10/2024, 17:41:51.707376",25,5.0
7,MOVISTAR_PLUS_7F81,-77,40.605827833333336,-4.0629116666666665,895.2,154155.00,1727797315.007865,"01/10/2024, 17:41:55.007865",23,8.3
8,MOVISTAR_7F81,-67,40.605827833333336,-4.0629116666666665,895.2,154155.00,1727797315.007865,"01/10/2024, 17:41:55.007865",33,8.3
9,MOVISTAR_PLUS_7F81,-75,40.60582816666667,-4.062912,895.1,154157.00,1727797317.296115,"01/10/2024, 17:41:57.296115",25,10.6
10,MOVISTAR_7F81,-73,40.60582816666667,-4.062912,895.1,154157.00,1727797317.296115,"01/10/2024, 17:41:57.296115",27,10.6
11,MOVISTAR_PLUS_7F81,-75,40.60582866666667,-4.062912166666667,895.1,154159.00,1727797319.388494,"01/10/2024, 17:41:59.388494",25,12.6
12,MOVISTAR_7F81,-68,40.60582866666667,-4.062912166666667,895.1,154159.00,1727797319.388494,"01/10/2024, 17:41:59.388494",32,12.6
13,MOVISTAR_7F81,-75,40.605829166666666,-4.062912666666667,895.1,154201.00,1727797321.483057,"01/10/2024, 17:42:01.483057",25,14.7
14,MOVISTAR_PLUS_7F81,-75,40.605829166666666,-4.062912666666667,895.1,154201.00,1727797321.483057,"01/10/2024, 17:42:01.483057",25,14.7
15,MOVISTAR_7F81,-72,40.605829166666666,-4.062912666666667,895.1,154201.00,1727797321.483057,"01/10/2024, 17:42:01.483057",28,14.7
16,MOVISTAR_7F81,-75,40.6058295,-4.062913166666666,895.0,154203.00,1727797323.773422,"01/10/2024, 17:42:03.773422",25,17.0
17,MOVISTAR_PLUS_7F81,-75,40.6058295,-4.062913166666666,895.0,154203.00,1727797323.773422,"01/10/2024, 17:42:03.773422",25,17.0
18,MOVISTAR_7F81,-69,40.6058295,-4.062913166666666,895.0,154203.00,1727797323.773422,"01/10/2024, 17:42:03.773422",31,17.0
19,MOVISTAR_7F81,-75,40.60582983333333,-4.062914,895.0,154206.00,1727797326.971157,"01/10/2024, 17:42:06.971157",25,20.2
20,MOVISTAR_PLUS_7F81,-75,40.60582983333333,-4.062914,895.0,154206.00,1727797326.971157,"01/10/2024, 17:42:06.971157",25,20.2
21,MOVISTAR_7F81,-72,40.60582983333333,-4.062914,895.0,154206.00,1727797326.971157,"01/10/2024, 17:42:06.971157",28,20.2
22,MOVISTAR_7F81,-75,40.605830166666664,-4.0629145,895.0,154208.00,1727797328.85586,"01/10/2024, 17:42:08.855860",25,22.1
23,MOVISTAR_PLUS_7F81,-75,40.605830166666664,-4.0629145,895.0,154208.00,1727797328.85586,"01/10/2024, 17:42:08.855860",25,22.1
24,MOVISTAR_7F81,-71,40.605830166666664,-4.0629145,895.0,154208.00,1727797328.85586,"01/10/2024, 17:42:08.855860",29,22.1
25,MOVISTAR_7F81,-75,40.60583066666667,-4.0629155,895.0,154211.00,1727797331.592516,"01/10/2024, 17:42:11.592516",25,24.9
26,MOVISTAR_PLUS_7F81,-75,40.60583066666667,-4.0629155,895.0,154211.00,1727797331.592516,"01/10/2024, 17:42:11.592516",25,24.9
27,MOVISTAR_7F81,-70,40.60583066666667,-4.0629155,895.0,154211.00,1727797331.592516,"01/10/2024, 17:42:11.592516",30,24.9
28,MOVISTAR_PLUS_7F81,-77,40.60583066666667,-4.062915833333333,895.0,154212.00,1727797333.28509,"01/10/2024, 17:42:13.285090",23,26.5
29,MOVISTAR_7F81,-76,40.60583066666667,-4.062915833333333,895.0,154212.00,1727797333.28509,"01/10/2024, 17:42:13.285090",24,26.5
30,MOVISTAR_7F81,-72,40.60583066666667,-4.062915833333333,895.0,154212.00,1727797333.28509,"01/10/2024, 17:42:13.285090",28,26.5
31,MOVISTAR_7F81,-76,40.605830833333336,-4.062917,895.0,154216.00,1727797336.573991,"01/10/2024, 17:42:16.573991",24,29.8
32,MOVISTAR_PLUS_7F81,-76,40.605830833333336,-4.062917,895.0,154216.00,1727797336.573991,"01/10/2024, 17:42:16.573991",24,29.8
33,MOVISTAR_7F81,-72,40.605830833333336,-4.062917,895.0,154216.00,1727797336.573991,"01/10/2024, 17:42:16.573991",28,29.8
34,MOVISTAR_7F81,-76,40.605830833333336,-4.062917166666667,895.0,154218.00,1727797338.961153,"01/10/2024, 17:42:18.961153",24,32.2
35,MOVISTAR_PLUS_7F81,-76,40.605830833333336,-4.062917166666667,895.0,154218.00,1727797338.961153,"01/10/2024, 17:42:18.961153",24,32.2
